Categoría,Correo,Asunto,Message
ham,jefe78@trabajo.com,I've been searching for the...,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
ham,secretaria91@gmail.com,I HAVE A DATE ON...,I HAVE A DATE ON SUNDAY WITH WILL!!
spam,noresponder@notificacion-urgente.org,XXX Mobile Movie Club Credit Ready (ID: 6),"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,jefe37@gmail.com,Oh k...i'm watching here:),Oh k...i'm watching here:)
ham,carlos50@uni.edu,Eh u remember how 2...,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,jefe49@uni.edu,Fine if that’s the way...,Fine if that’s the way u feel. That’s the way its gota b
spam,soporte_tecnico@actualizacion-sistema.com,Sports Alert: England vs Macedonia (ID: 7),"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,profesor_x10@gmail.com,Is that seriously how you...,Is that seriously how you spell his name?
ham,sofia54@hotmail.com,I‘m going to try for...,I‘m going to try for 2 months ha ha only joking
ham,secretaria55@gmail.com,So ü pay first lar......,So ü pay first lar... Then when is da stock comin...
ham,ana12@trabajo.com,Aft i finish my lunch...,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham,ana88@gmail.com,Ffffffffff. Alright no way I...,Ffffffffff. Alright no way I can meet up with you sooner?
ham,ana44@hotmail.com,Just forced myself to eat...,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
ham,secretaria74@hotmail.com,Lol your always so convincing.,Lol your always so convincing.
ham,secretaria22@trabajo.com,Did you catch the bus...,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
ham,carlos72@hotmail.com,I'm back &amp; we're packing...,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
ham,profesor_x38@outlook.es,Ahhh. Work. I vaguely remember...,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,jefe28@trabajo.com,Wait that's still not all...,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,profesor_x37@hotmail.com,Yeah he got in at...,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
ham,carlos80@trabajo.com,K tell me anything about...,K tell me anything about you.
ham,profesor_x19@uni.edu,For fear of fainting with...,For fear of fainting with the of all that housework you just did? Quick have a cuppa
spam,noresponder_1@notificacion-urgente.org,Subscription Confirmation Required (ID: 8),Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,sofia86@uni.edu,Yup... Ok i go home...,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,ana66@hotmail.com,"Oops, I'll let you know...","Oops, I'll let you know when my roommate's done"
ham,sofia48@hotmail.com,I see the letter B...,I see the letter B on my car
ham,jefe54@gmail.com,Anything lor... U decide...,Anything lor... U decide...
ham,luis19@hotmail.com,Hello! How's you and how...,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
ham,ana39@uni.edu,Pls go ahead with watts....,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,ana82@outlook.es,Did I forget to tell...,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
spam,soporte_tecnico_1@actualizacion-sistema.com,Exclusive Free Offer! (ID: 9),07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham,secretaria39@outlook.es,WHO ARE YOU SEEING?,WHO ARE YOU SEEING?
ham,luis86@uni.edu,Great! I hope you like...,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
ham,profesor_x72@gmail.com,No calls..messages..missed calls,No calls..messages..missed calls
ham,luis44@outlook.es,Didn't you get hep b...,Didn't you get hep b immunisation in nigeria.
ham,sofia18@hotmail.com,"Fair enough, anything going on?","Fair enough, anything going on?"
ham,sofia86@trabajo.com,"Yeah hopefully, if tyler can't...","Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
ham,luis87@outlook.es,U don't know how stubborn...,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,ana44@trabajo.com,What you thinked about me....,What you thinked about me. First time you saw me in class.
ham,luis52@trabajo.com,A gram usually runs like...,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
ham,ana12@uni.edu,K fyi x has a...,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
ham,ana16@gmail.com,Wow. I never realized that...,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
spam,soporte_tecnico_2@actualizacion-sistema.com,Important Notification: Review Your Offer (ID: 10),SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
ham,ana24@gmail.com,Do you know what Mallika...,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
spam,ganador_loto_2@felicidades.info,Exclusive Free Offer! (ID: 11),"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
ham,profesor_x32@gmail.com,"Sorry, I'll call later in...","Sorry, I'll call later in meeting."
ham,luis18@trabajo.com,Tell where you reached,Tell where you reached
ham,profesor_x45@trabajo.com,Yes..gauti and sehwag out of...,Yes..gauti and sehwag out of odi series.
ham,carlos13@trabajo.com,Your gonna have to pick...,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
ham,jefe17@trabajo.com,Ha ha ha good joke....,Ha ha ha good joke. Girls are situation seekers.
ham,carlos30@gmail.com,Its a part of checking...,Its a part of checking IQ
ham,luis71@outlook.es,"Sorry my roommates took forever,...","Sorry my roommates took forever, it ok if I come by now?"
ham,luis57@outlook.es,Ok lar i double check...,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
spam,servicio_seguridad_1@alerta-oficial.net,Congratulations! You Have Won a Prize (ID: 12),"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
ham,profesor_x12@hotmail.com,"Today is ""song dedicated day..""...","Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
spam,ganador_loto_3@felicidades.info,Congratulations! You Have Won a Prize (ID: 13),"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,noresponder_2@notificacion-urgente.org,Gossip Alert: Did You Hear About... (ID: 14),"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
ham,ana74@outlook.es,I plane to give on...,I plane to give on this month end.
ham,profesor_x14@trabajo.com,Wah lucky man... Then can...,Wah lucky man... Then can save money... Hee...
ham,secretaria15@hotmail.com,Finished class where are you.,Finished class where are you.
ham,carlos48@hotmail.com,HI BABE IM AT HOME...,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
ham,profesor_x37_1@hotmail.com,K..k:)where are you?how did you...,K..k:)where are you?how did you performed?
ham,sofia17@outlook.es,U can call me now...,U can call me now...
ham,jefe79@gmail.com,I am waiting machan. Call...,I am waiting machan. Call me once you free.
ham,ana87@outlook.es,Thats cool. i am a...,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,carlos27@hotmail.com,I like you peoples very...,I like you peoples very much:) but am very shy pa.
ham,jefe18@trabajo.com,Does not operate after &lt;#&gt;...,Does not operate after  &lt;#&gt;  or what
ham,sofia33@outlook.es,Its not the same here....,Its not the same here. Still looking for a job. How much do Ta's earn there.
ham,luis73@hotmail.com,"Sorry, I'll call later","Sorry, I'll call later"
ham,secretaria86@trabajo.com,K. Did you call me...,K. Did you call me just now ah?
ham,sofia78@outlook.es,Ok i am on the...,Ok i am on the way to home hi hi
ham,ana55@gmail.com,You will be in the...,You will be in the place of that man
ham,profesor_x76@outlook.es,Yup next stop.,Yup next stop.
ham,ana24_1@gmail.com,"I call you later, don't...","I call you later, don't have network. If urgnt, sms me."
ham,secretaria80@trabajo.com,For real when u getting...,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,luis41@trabajo.com,Yes I started to send...,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
ham,jefe78_1@trabajo.com,I'm really not up to...,I'm really not up to it still tonight babe
ham,profesor_x90@outlook.es,"Ela kano.,il download, come wen...","Ela kano.,il download, come wen ur free.."
ham,sofia47@uni.edu,Yeah do! Don‘t stand to...,Yeah do! Don‘t stand to close tho- you‘ll catch something!
ham,carlos61@outlook.es,Sorry to be a pain....,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.
ham,jefe54@hotmail.com,Smile in Pleasure Smile in...,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
spam,paypal_support_3@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 15),Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,secretaria23@uni.edu,Havent planning to buy later....,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
spam,ganador_loto_4@felicidades.info,Exclusive Free Offer! (ID: 16),"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,luis57@gmail.com,Watching telugu movie..wat abt u?,Watching telugu movie..wat abt u?
ham,jefe61@gmail.com,i see. When we finish...,i see. When we finish we have loads of loans to pay
ham,ana66_1@hotmail.com,Hi. Wk been ok -...,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
ham,secretaria43@outlook.es,I see a cup of...,I see a cup of coffee animation
ham,carlos73@gmail.com,Please don't text me anymore....,Please don't text me anymore. I have nothing else to say.
ham,sofia79@gmail.com,Okay name ur price as...,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
ham,sofia45@trabajo.com,I'm still looking for a...,I'm still looking for a car to buy. And have not gone 4the driving test yet.
ham,jefe67@outlook.es,As per your request 'Melle...,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,carlos68@trabajo.com,wow. You're right! I didn't...,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,sofia16@trabajo.com,Umma my life and vava...,Umma my life and vava umma love you lot dear
ham,secretaria49@trabajo.com,Thanks a lot for your...,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
ham,luis40@uni.edu,"Aight, I'll hit you up...","Aight, I'll hit you up when I get some cash"
ham,profesor_x34@trabajo.com,How would my ip address...,How would my ip address test that considering my computer isn't a minecraft server
ham,sofia25@gmail.com,I know! Grumpy old people....,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
ham,jefe86@uni.edu,Dont worry. I guess he's...,Dont worry. I guess he's busy.
ham,ana24@uni.edu,What is the plural of...,What is the plural of the noun research?
ham,secretaria67@trabajo.com,Going for dinner.msg you after.,Going for dinner.msg you after.
ham,luis15@uni.edu,I'm ok wif it cos...,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
spam,paypal_support_4@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 17),GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
ham,ana72@hotmail.com,"Wa, ur openin sentence very...","Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
ham,ana95@gmail.com,As I entered my cabin...,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
spam,ganador_loto_5@felicidades.info,Congratulations! You Have Won a Prize (ID: 18),You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
ham,profesor_x66@hotmail.com,Goodo! Yes we must speak...,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
ham,jefe77@outlook.es,Hmm...my uncle just informed me...,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
spam,soporte_tecnico_3@actualizacion-sistema.com,Congratulations! You Have Won a Prize (ID: 19),PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
spam,paypal_support_5@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 20),"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
ham,sofia63@hotmail.com,here is my new address...,here is my new address -apples&pairs&all that malarky
spam,paypal_support_6@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 21),Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,jefe14@hotmail.com,I am going to sao...,I am going to sao mu today. Will be done only at 12
ham,luis98@uni.edu,Ü predict wat time ü'll...,Ü predict wat time ü'll finish buying?
ham,luis93@outlook.es,"Good stuff, will do.","Good stuff, will do."
ham,profesor_x43@outlook.es,"Just so that you know,yetunde...","Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
ham,carlos82@trabajo.com,Are you there in room.,Are you there in room.
ham,carlos27@trabajo.com,HEY GIRL. HOW R U?...,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,ana25@outlook.es,K..k:)how much does it cost?,K..k:)how much does it cost?
ham,carlos81@trabajo.com,I'm home.,I'm home.
ham,jefe64@hotmail.com,"Dear, will call Tmorrow.pls accomodate.","Dear, will call Tmorrow.pls accomodate."
ham,secretaria66@trabajo.com,First answer my question.,First answer my question.
spam,noresponder_3@notificacion-urgente.org,Important Notification: Review Your Offer (ID: 22),Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
spam,paypal_support_7@pago-pendient.biz,New Spam Message - Important (ID: 23),Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
ham,profesor_x69@hotmail.com,I only haf msn. It's...,I only haf msn. It's yijue@hotmail.com
ham,sofia53@gmail.com,He is there. You call...,He is there. You call and meet him
ham,luis76@uni.edu,No no. I will check...,No no. I will check all rooms befor activities
spam,soporte_tecnico_4@actualizacion-sistema.com,Exclusive Free Offer! (ID: 24),You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
ham,profesor_x61@gmail.com,Got c... I lazy to...,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
ham,luis79@trabajo.com,"K, text me when you're...","K, text me when you're on the way"
ham,secretaria65@uni.edu,"Sir, Waiting for your mail.","Sir, Waiting for your mail."
ham,profesor_x30@trabajo.com,"A swt thought: ""Nver get...","A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
ham,carlos27@outlook.es,I know you are. Can...,I know you are. Can you pls open the back?
ham,ana81@hotmail.com,Yes see ya not on...,Yes see ya not on the dot
ham,sofia85@uni.edu,Whats the staff name who...,Whats the staff name who is taking class for us?
spam,servicio_seguridad_2@alerta-oficial.net,Exclusive Free Offer! (ID: 25),"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
ham,ana58@outlook.es,Ummma.will call after check in.our...,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
ham,carlos82@uni.edu,K..i deleted my contact that...,K..i deleted my contact that why?
ham,sofia87@gmail.com,Sindu got job in birla...,Sindu got job in birla soft ..
ham,jefe55@trabajo.com,The wine is flowing and...,The wine is flowing and i'm i have nevering..
ham,ana50@hotmail.com,Yup i thk cine is...,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
ham,profesor_x91@uni.edu,Ok... Ur typical reply...,Ok... Ur typical reply...
ham,secretaria65@hotmail.com,As per your request 'Melle...,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,profesor_x25@outlook.es,"You are everywhere dirt, on...","You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
ham,carlos58@outlook.es,Aaooooright are you at work?,Aaooooright are you at work?
ham,carlos16@trabajo.com,I'm leaving my house now...,I'm leaving my house now...
ham,profesor_x62@gmail.com,"Hello, my love. What are...","Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
spam,noresponder_4@notificacion-urgente.org,URGENT ALERT: Immediate Action Required (ID: 26),Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
spam,paypal_support_8@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 27),You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,luis60@uni.edu,Keep yourself safe for me...,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
ham,carlos23@trabajo.com,New car and house for...,New car and house for my parents.:)i have only new job in hand:)
ham,secretaria61@trabajo.com,I'm so in love with...,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
spam,noresponder_5@notificacion-urgente.org,Invitation to Connect: bootydelious (ID: 28),-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
spam,paypal_support_9@pago-pendient.biz,Order Confirmation: BangBabes Content (ID: 29),"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
ham,carlos82@outlook.es,I place all ur points...,I place all ur points on e cultures module already.
spam,noresponder_6@notificacion-urgente.org,Congratulations! You Have Won a Prize (ID: 30),URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
ham,sofia27@hotmail.com,"Hi frnd, which is best...","Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,sofia32@gmail.com,Great escape. I fancy the...,Great escape. I fancy the bridge but needs her lager. See you tomo
ham,jefe73@hotmail.com,Yes :)it completely in out...,Yes :)it completely in out of form:)clark also utter waste.
ham,luis77@outlook.es,"Sir, I need AXIS BANK...","Sir, I need AXIS BANK account no and bank address."
ham,profesor_x17@uni.edu,Hmmm.. Thk sure got time...,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
ham,jefe37@uni.edu,What time you coming down...,What time you coming down later?
ham,ana88@hotmail.com,"Bloody hell, cant believe you...","Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
ham,profesor_x72@uni.edu,"Well, i'm gonna finish my...","Well, i'm gonna finish my bath now. Have a good...fine night."
ham,carlos47@trabajo.com,Let me know when you've...,Let me know when you've got the money so carlos can make the call
ham,luis94@outlook.es,U still going to the...,U still going to the mall?
ham,jefe40@trabajo.com,Turns out my friends are...,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
ham,jefe33@uni.edu,Text her. If she doesnt...,Text her. If she doesnt reply let me know so i can have her log in
ham,luis70@outlook.es,Hi! You just spoke to...,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,carlos64@trabajo.com,You lifted my hopes with...,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
ham,sofia48@outlook.es,Lol no. U can trust...,Lol no. U can trust me.
ham,profesor_x89@uni.edu,ok. I am a gentleman...,ok. I am a gentleman and will treat you with dignity and respect.
ham,jefe95@gmail.com,"He will, you guys close?","He will, you guys close?"
ham,secretaria29_1@gmail.com,Going on nothing great.bye,Going on nothing great.bye
ham,profesor_x55@hotmail.com,Hello handsome ! Are you...,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,profesor_x48@outlook.es,"Haha awesome, be there in...","Haha awesome, be there in a minute"
spam,paypal_support_10@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 31),Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,carlos68@uni.edu,Have you got Xmas radio...,Have you got Xmas radio times. If not i will get it now
ham,jefe14_1@hotmail.com,I jus reached home. I...,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
spam,ganador_loto_6@felicidades.info,Are You Unique? Find Out Now! (ID: 32),Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
ham,carlos65@uni.edu,I'm sorry. I've joined the...,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
ham,luis20@outlook.es,Hi :)finally i completed the...,Hi :)finally i completed the course:)
ham,jefe11@trabajo.com,It will stop on itself....,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
ham,carlos91@outlook.es,How are you doing? Hope...,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
ham,luis93@uni.edu,Gud mrng dear hav a...,Gud mrng dear hav a nice day
ham,carlos31@outlook.es,Did u got that persons...,Did u got that persons story
ham,profesor_x20@uni.edu,is your hamster dead? Hey...,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
ham,sofia79@hotmail.com,Hi its Kate how is...,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
ham,profesor_x27@uni.edu,"Found it, ENC &lt;#&gt; ,...","Found it, ENC  &lt;#&gt; , where you at?"
ham,ana10@trabajo.com,I sent you &lt;#&gt; bucks,I sent you  &lt;#&gt;  bucks
ham,carlos53@trabajo.com,Hello darlin ive finished college...,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
ham,carlos90@gmail.com,Your account has been refilled...,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,luis98@gmail.com,Goodmorning sleeping ga.,Goodmorning sleeping ga.
ham,profesor_x49@hotmail.com,U call me alter at...,U call me alter at 11 ok.
ham,ana30@trabajo.com,Ü say until like dat...,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
ham,ana32@trabajo.com,As I entered my cabin...,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,sofia95@gmail.com,"Aight yo, dats straight dogg","Aight yo, dats straight dogg"
ham,ana18@uni.edu,You please give us connection...,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
ham,secretaria22@outlook.es,Both :) i shoot big...,Both :) i shoot big loads so get ready!
ham,carlos16@hotmail.com,"What's up bruv, hope you...","What's up bruv, hope you had a great break. Do have a rewarding semester."
ham,carlos95@outlook.es,Home so we can always...,Home so we can always chat
ham,ana10@uni.edu,K:)k:)good:)study well.,K:)k:)good:)study well.
ham,sofia48@trabajo.com,Yup... How ü noe leh...,Yup... How ü noe leh...
ham,jefe72@hotmail.com,Sounds great! Are you home...,Sounds great! Are you home now?
ham,luis75@outlook.es,Finally the match heading towards...,Finally the match heading towards draw as your prediction.
ham,jefe13@trabajo.com,Tired. I haven't slept well...,Tired. I haven't slept well the past few nights.
ham,carlos42@uni.edu,Easy ah?sen got selected means...,Easy ah?sen got selected means its good..
ham,ana71@outlook.es,I have to take exam...,I have to take exam with march 3
ham,luis62@gmail.com,Yeah you should. I think...,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
ham,ana25_1@outlook.es,Ok no prob. Take ur...,Ok no prob. Take ur time.
ham,carlos86@uni.edu,There is os called ubandu...,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
